Reference, Quantity, Value, Footprint, Datasheet
C1 C2 ,2,"C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C3 ,1,"10uF","Capacitor_Tantalum_SMD:CP_EIA-2012-15_AVX-P_Pad1.30x1.05mm_HandSolder","~"
C6 ,1,"CAP","Capacitor_THT:CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal",""
C7 ,1,"1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C8 ,1,"1uF","Capacitor_Tantalum_SMD:CP_EIA-2012-15_AVX-P_Pad1.30x1.05mm_HandSolder","~"
C4 C5 C9 ,3,"0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
D1 ,1,"D_TVS_ALT","Diode_SMD:D_SMB","~"
D2 ,1,"D_Zener_ALT","Diode_SMD:D_0603_1608Metric","~"
F1 ,1,"Polyfuse","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
J1 ,1,"Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","~"
J2 ,1,"USB_B_Micro","Connector_USB:USB_Micro-B_Wuerth_629105150521","~"
J3 ,1,"Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
J4 ,1,"USB_A","Connector_USB:USB_A_CNCTech_1001-011-01101_Horizontal"," ~"
M1 ,1,"MPMOS","",""
R2 ,1,"1M","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R1 R3 R6 ,3,"R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R4 R5 ,2,"22R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
U1 ,1,"ATmega16U4-MU","Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.4x5.4mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf"
Y1 ,1,"16MHz","Crystal:Crystal_SMD_HC49-SD_HandSoldering","~"
